mois,quai,heures_occupees,nombre_escales,jours_mois,heures_disponibles,taux_occupation_pct,debit_escales_par_jour_occupe
2026-04,P6,579.2833333330556,3.0,30,720,80.45601851847994,0.12429150962402023
2026-04,P60,317.06666666638887,3.0,30,720,44.037037036998456,0.22708158116083815
2026-04,P61,686.1333333330556,8.0,30,720,95.29629629625772,0.2798289933930398
2026-04,P7,391.83333333333337,3.0,30,720,54.421296296296305,0.1837515950659294
2026-04,P8,0.0,0.0,30,720,0.0,
2026-04,P9,0.0,0.0,30,720,0.0,
2026-05,P1,544.9833333330556,8.0,31,744,73.25044802863651,0.35230435181521974
2026-05,P10,0.0,0.0,31,744,0.0,
2026-05,P11,112.96666666666667,1.0,31,744,15.183691756272403,0.21245205075243434
2026-05,P12,899.9666666663888,10.0,31,744,120.96326164870818,0.2666765435757703
2026-05,P13,316.6666666663889,3.0,31,744,42.56272401429958,0.22736842105283103
2026-05,P14,477.81666666638887,14.0,31,744,64.22267025085871,0.7031985768604319
2026-05,P15,703.3999999997222,13.0,31,744,94.54301075265083,0.44355985214689114
2026-05,P16,505.78333333333336,10.0,31,744,67.98163082437276,0.4745114838369525
2026-05,P2,85.5,1.0,31,744,11.491935483870968,0.2807017543859649
2026-05,P3,425.31666666666666,3.0,31,744,57.16621863799283,0.1692856303146675
2026-05,P4,828.25,5.0,31,744,111.3239247311828,0.1448837911258678
2026-05,P5,392.96666666638885,2.0,31,744,52.8181003583856,0.122147764865639
2026-05,P51,709.3999999997222,8.0,31,744,95.34946236555406,0.27065125458144235
2026-05,P52,298.9999999997222,3.0,31,744,40.18817204297341,0.240802675585508
2026-05,P6,285.25,2.0,31,744,38.340053763440864,0.16827344434706398
2026-05,P60,503.7999999997222,4.0,31,744,67.71505376340352,0.19055180627243534
2026-05,P61,726.6499999997222,7.0,31,744,97.66801075265083,0.23119796325612638
2026-05,P7,578.0166666666667,3.0,31,744,77.69041218637993,0.12456388224099652
2026-05,P8,80.13333333305556,1.0,31,744,10.77060931895908,0.2995008319477936
2026-05,P9,160.3,1.0,31,744,21.545698924731184,0.14971927635683094
2026-06,P1,280.4,4.0,30,720,38.94444444444444,0.3423680456490728
2026-06,P10,0.0,0.0,30,720,0.0,
2026-06,P11,0.0,0.0,30,720,0.0,
2026-06,P12,119.43333333333334,4.0,30,720,16.587962962962962,0.8037957019257606
2026-06,P13,99.69999999999999,2.0,30,720,13.847222222222221,0.4814443329989971
2026-06,P14,285.93333333333334,9.0,30,720,39.71296296296296,0.755420844019585
2026-06,P15,242.86666666666667,6.0,30,720,33.73148148148148,0.5929179247872632
2026-06,P16,273.25,5.0,30,720,37.951388888888886,0.4391582799634035
2026-06,P2,0.0,0.0,30,720,0.0,
2026-06,P3,345.03333333333336,2.0,30,720,47.9212962962963,0.13911699352719542
2026-06,P4,147.1,1.0,30,720,20.430555555555554,0.16315431679129844
2026-06,P5,326.0,2.0,30,720,45.27777777777778,0.14723926380368096
2026-06,P51,408.76666666666665,4.0,30,720,56.773148148148145,0.23485280926363858
2026-06,P52,38.6,2.0,30,720,5.361111111111112,1.2435233160621761
2026-06,P6,0.0,0.0,30,720,0.0,
2026-06,P60,215.0,2.0,30,720,29.86111111111111,0.22325581395348837
2026-06,P61,487.9,6.0,30,720,67.76388888888889,0.2951424472227916
2026-06,P7,334.3,1.0,30,720,46.43055555555556,0.0717918037690697
2026-06,P8,142.4,2.0,30,720,19.77777777777778,0.33707865168539325
2026-06,P9,0.0,0.0,30,720,0.0,
